text,sentiment,word_count,char_count,avg_word
mile im essex give plenty warning arrive time get least one free beer,neutral,13,69,4.384615384615385
snoring annoying n keep sleeping like right lol honestly wud miss eva left love,neutral,14,79,4.714285714285714
miss bby wish going tomorrow make good,negative,7,38,4.571428571428571
well working isnt quite ready post publicly still beta testing cool new script coded,positive,14,84,5.071428571428571
sweeeeet san fran awesome love,positive,5,30,5.2
mounce yes last way past bedtime,neutral,6,32,4.5
hi joined twitter,neutral,3,17,5.0
waiting sleeping pill kick going tired work tomorrow,negative,8,52,5.625
eating ice cream getting ready graduation,neutral,6,41,6.0
happy mother day mum,positive,4,20,4.25
caseys gone piddled little carpet shes probably freaked new get back,negative,11,68,5.2727272727272725
hemp cloth marvelous unfortunately,negative,4,34,7.75
going read story bout adam lambert online bed nighty night,neutral,10,58,4.9
saw none 3d baddie best,positive,5,23,3.8
4am beach pretty,positive,3,16,4.666666666666667
certainly cheer huh,neutral,3,19,5.666666666666667
1 week post my'horrible traumatic jumping cholla accident'chollas next dirty trickpieces starting emerge hand ouch,negative,15,114,6.666666666666667
realy wanted go nice everybodys busy,negative,6,36,5.166666666666667
awesome im ocean beach know way 'yourbiggestfan' im real big fan,positive,11,64,4.909090909090909
least get watch time let go pen,neutral,7,31,3.5714285714285716
cool wear black time go,neutral,5,23,3.8
haha know work blip apart obvious thanks reblipping song nice day,positive,11,65,5.0
safe trip joshy pooyoull knock dead speech,positive,7,42,5.142857142857143
woof wish allowed go,positive,4,20,4.25
friendster add email adress add lococrime1stcom add leave comment,neutral,9,65,6.333333333333333
ticket,neutral,1,6,6.0
thank afrin nasal spray also got giant teacup tonight,positive,9,53,5.0
acsm unfathomable think one one kept comfort bedroom yes,neutral,9,56,5.333333333333333
aww love daddy work 7 day week almost day still try go sf u,positive,14,59,3.2857142857142856
many test todayyy dont feel confident anyy,negative,7,42,5.142857142857143
graduation done little sad anyone want hang,negative,7,43,5.285714285714286
,positive,1,0,0.0
,positive,1,0,0.0
hate fallout 3 keep making jump im also low health money ammo food dont worry ill get,neutral,17,85,4.0588235294117645
itunes lost song,neutral,3,16,4.666666666666667
whats gloomy weather sun must tired come play heading victoria garden impulse buy haha,neutral,14,86,5.214285714285714
looking forward next week math geography english french exam totalling 7 hour,negative,12,77,5.5
poor get outside sleep garden sun good dont forget suncream,negative,10,59,5.0
,negative,1,0,0.0
,positive,1,0,0.0
dad watching mtv going sims2 minutee,neutral,6,36,5.166666666666667
,neutral,1,0,0.0
whats matter chickadee,neutral,3,22,6.666666666666667
hey mia totally adore music cd,positive,6,30,4.166666666666667
shopping cleaning bmfing webcam chatting nephew nothing spesh good bank holiday monday nonetheless,positive,13,98,6.615384615384615
need ask something lmao love,positive,5,28,4.8
splinter look painfulbut heroic saving mr pickle,negative,7,48,6.0
,negative,1,0,0.0
nice see tweeting sunday 10th may celebrating mother day today nice yer mom,positive,13,75,4.846153846153846
decided 2 trans frm relaxed 2 natural hair wish whole head looked like root age instant gratification,positive,17,101,5.0
namaskar namaste r marathi people say namaskar marathi word naaaah,neutral,10,66,5.7
congrats cuss like matter minute didnt know reward,neutral,8,50,5.375
humous doritos oh yes,neutral,4,21,4.5
missed awesome weather movie,negative,4,28,6.25
today going normal day hope group pilot large airline come last night much drink,neutral,14,80,4.785714285714286
kid terrible good evans id call childline,negative,7,41,5.0
unfortunatley aerlingus longer fly copenhagen fly ryanair billund drive copenhagen one day,negative,12,90,6.583333333333333
whats sad actually google term suck though,negative,7,42,5.142857142857143
hate fighting,negative,2,13,6.0
watched want win put good fightlol,neutral,6,34,4.833333333333333
carwarmed sprite taste like sore throat,negative,6,39,5.666666666666667
came 11th cross country beat dumbo,neutral,6,34,4.833333333333333
candle wax enjoyable,positive,3,20,6.0
shes unassuming unpretentious shes suppose thats shes endearingbecause relate,positive,9,77,7.666666666666667
tomorrow valerias lunch going get hair done arraving late got cousin babtizm whatever spell,neutral,14,91,5.571428571428571
goooooddd morning tweet week three workout mention got new glass yesterday,positive,11,74,5.818181818181818
hate computer much,negative,3,18,5.333333333333333
fine going big walk today 20 mile,positive,7,33,3.857142857142857
want red cruiser dont like one lmfao,negative,7,36,4.285714285714286
mmmmmmmm morning,neutral,2,16,7.5
neither,neutral,1,7,7.0
10 hour work sunday boo find time two hour lunchbreak though yeah,neutral,12,65,4.5
bugger forgot still washing machine,negative,5,35,6.2
laurie sending love blessing healing thought family peace,positive,8,57,6.25
back hurtsreally bad,negative,3,20,6.0
ah yes know feeling,neutral,4,19,4.0
night cooker dad,neutral,3,16,4.666666666666667
modem offline week god bless 3g network tim left may schedule brutal,negative,12,68,4.75
nope coquitlam,neutral,2,14,6.5
parent teacher thing yesterday boring going skl saturday lol,negative,9,60,5.777777777777778
lichfield tweetup sound like fun hope see everyone else,positive,9,55,5.222222222222222
big booming thunder storm almost maybe go home early ah probably,neutral,11,64,4.909090909090909
bevvies 2day twngreat day,positive,4,25,5.5
first night myers wout lydia im actually excited summer,positive,9,55,5.222222222222222
,positive,1,0,0.0
best show ever,positive,3,14,4.0
url previous post timer job id removed space messed url e,negative,11,57,4.2727272727272725
think iv hurt tooth eilish cassie drawing competiton draw cooky pineapple haha l,neutral,13,80,5.230769230769231
want know audition mander text orreply please,neutral,7,45,5.571428571428571
even nooooo secret namerebecca please,negative,5,37,6.6
miss neice cant wait see bad n grown lol,negative,9,40,3.5555555555555554
need get computer fixed,neutral,4,23,5.0
really hope car illness terminal,negative,5,32,5.6
cool people want find following today english guess english dont tweet,neutral,11,70,5.454545454545454
siri would put honeybut dont,neutral,5,28,4.8
watched xmen origin wolverine totally loved haha,positive,7,48,6.0
voted personal myspace keep talking fake 3 helped thru hrdest time life x,positive,13,73,4.6923076923076925
im sad missed guy last night,negative,6,28,3.8333333333333335
finally got call marriage counseling 3 day late,neutral,8,47,5.0
ok,neutral,1,2,2.0
420 baby,neutral,2,8,3.5
today last day high school ended going home sick stupid dead rat,negative,12,64,4.416666666666667
impromptu pool party except dont know swim cant get,neutral,9,51,4.777777777777778
lost tooth 2day whilst eating gumoww,negative,6,36,5.166666666666667
happy 1 year 3,positive,4,14,2.75
oh hella forgot say official good morning like hear go goooooooooooood morrrrrrrrning twitterville lol,positive,14,102,6.357142857142857
phew make note case anyone else run issueï¿½,neutral,8,44,4.625
vote every day,negative,3,14,4.0
im starving diet killing cant eat 8pm,negative,7,37,4.428571428571429
,neutral,1,0,0.0
soo boredi deffo missing music channel,negative,6,38,5.5
nite nite birthday girl fun concert,positive,6,35,5.0
nicotine replacement patch 4 hour far good sleep 4 hour getting bit twitchy,neutral,13,75,4.846153846153846
sanderson whats twatter lately either cant get reply dont turn,neutral,10,62,5.3
sleeping lost voice couple day ago,negative,6,34,4.833333333333333
hate parked car get hit,negative,5,23,3.8
ive heard fall im waiting,neutral,5,25,4.2
nightmare huggles,neutral,2,17,8.0
creeper feel disappointed cyberstalking skill internet privacy,negative,7,62,8.0
going bed late headache,negative,4,23,5.0
happy mother day mom,positive,4,20,4.25
grabbing coffee making mom breakfast,neutral,5,36,6.4
thinking going fun tonightand maybe change coming,positive,7,49,6.142857142857143
thanks major chop,neutral,3,17,5.0
haha know cannot handle fame thank,positive,6,34,4.833333333333333
got updated ipod,neutral,3,16,4.666666666666667
yes sober hahaha tanghaling tapat dude haha wild dont knowwww plan plan go u,positive,14,76,4.5
never miss icarly son huge crush miranda,positive,7,40,4.857142857142857
saw james carville store today head really bald,neutral,8,47,5.0
yellow,neutral,1,6,6.0
mean youre going come back vancouver way hahah,neutral,8,46,4.875
feeling smooth like chrome,positive,4,26,5.75
,negative,1,0,0.0
downloading song trying sneak lil homework main priority song lol,neutral,10,65,5.6
alonei need coffee,neutral,3,18,5.333333333333333
,neutral,1,0,0.0
bad day day realize mess youve put one happiest day life,neutral,11,56,4.181818181818182
walking class hate bikeespecially mine,negative,5,38,6.8
,neutral,1,0,0.0
failed inspection know pas wooven woantitip bracket sold woven worse tax,negative,11,72,5.636363636363637
jonas brother live party rocking hard love song,positive,8,47,5.0
happy mother day mother world,positive,5,29,5.0
35mins 1hr 20mins google wave demo look lot fun would love test though,positive,13,70,4.461538461538462
sleepy tabz heading bed fun night listened next episode jossd,positive,10,61,5.2
exception short dude larenz fineass tate yum,neutral,7,44,5.428571428571429
screw review thought wolverine awesome enough dominic monaghan liking,positive,9,69,6.777777777777778
followed u recently please offended havent followed back hit limit hopefully free soon,positive,13,86,5.6923076923076925
yes work 6 3,neutral,4,12,2.25
hmmm maybe thats meant eluded something brand new know medium,neutral,10,61,5.2
done spa meeting vic late lunch,neutral,6,31,4.333333333333333
happy monday going tavares today hope everyone blessed day,positive,9,58,5.555555555555555
always wanted go oz,neutral,4,19,4.0
,neutral,1,0,0.0
,positive,1,0,0.0
thats need thereto represent blackberry,positive,5,39,7.0
okay im dedicating 300th tweet fact im going apple store huge crack glass screen,neutral,14,80,4.785714285714286
could ever actually allowed stay,neutral,5,32,5.6
let know turn,neutral,3,13,3.6666666666666665
sas detect long isnt back sas haha,neutral,7,34,4.0
yeah thinking ahaha,positive,3,19,5.666666666666667
sport bar shatranjanpoli rest ph 26498457 sport bar andheri w 26733333 know whether help google ki jai ho,neutral,18,105,4.888888888888889
im sleeping accepts appology,negative,4,28,6.25
wolverine bos seriously william,negative,4,31,7.0
live pain bring,neutral,3,15,4.333333333333333
okay im back later,neutral,4,18,3.75
powerblog powerblog challenge keep talking im newbie follower,neutral,8,61,6.75
almost died laptop screen set 100 brightness reinstalled window vista got headache insanedefaults,positive,13,97,6.538461538461538
waiting tish get got drive mom crv pick duckie first time,neutral,11,57,4.2727272727272725
trying decide movie friend going well lol p bible study 2nite mean day cake buy,negative,15,79,4.333333333333333
going shower dont want smell school tomorrow,neutral,7,44,5.428571428571429
sigh know,neutral,2,9,4.0
discovered bug new netplayer 4 build publishing bug fix hopefully new beta tomorrow,positive,13,83,5.461538461538462
4 free twitter tool get follower,neutral,6,32,4.5
got home work chugging big bottle apple juice,neutral,8,45,4.75
yes please go die cry normally lead small animal getting harmed,negative,11,63,4.818181818181818
writing report card soooo tired amazing day check fb soon,positive,10,57,4.8
big brotherand im done,neutral,4,22,4.75
good news finally finished easactive workout paused 6 hour bad news resistance band torn,neutral,14,88,5.357142857142857
well good morning wonderful day neighborhood thanks following another 60 morning,positive,11,80,6.363636363636363
ftsk mercy mercedes amazing tonight always,positive,6,42,6.166666666666667
,positive,1,0,0.0
cant school done already hurt much seeing every day,positive,9,51,4.777777777777778
waited listening wind blowing tumbleweed none old enough know someone say 'crackerack',neutral,12,86,6.25
,neutral,1,0,0.0
shirt dinner need ask actually ville,neutral,6,36,5.166666666666667
,neutral,1,0,0.0
huh smelly noooo love alex vixon,neutral,6,32,4.5
went party last night dindin showed matching outfit great mind think alike anyway happy birthday ate lara,positive,17,105,5.235294117647059
happy bday woke side earth wish bit late,positive,8,40,4.125
thank teaching value better person day love much youre best mum world,positive,12,69,4.833333333333333
,positive,1,0,0.0
laugh im glad self confidence wonderful trait ill applaud extra loud okay,positive,12,73,5.166666666666667
thanks,positive,1,6,6.0
twittering 2 day,neutral,3,16,4.666666666666667
getting ready week nice today stuck inside working,positive,8,50,5.375
,negative,1,0,0.0
felt like behaved like son ate compensate pigged homeroasted sugar almond painful tum threw still feel sick,negative,17,107,5.352941176470588
happy mother day people love mom lot still,positive,8,42,4.375
im sorry hear,negative,3,13,3.6666666666666665
thats awesome dude yay surprise celebrity got meet year ago soooo friendly,positive,12,74,5.25
make happy hear girl talk tweet nba could give nugget love,positive,11,58,4.363636363636363
getting hang twitter,neutral,3,20,6.0
know neck jacked forced pay parking cant turn head parallel park free space,negative,13,75,4.846153846153846
want back,neutral,2,9,4.0
going miss roomie longer roomy starting tomorrow,negative,7,48,6.0
bathing two little angel keyla janice,neutral,6,37,5.333333333333333
yep finished chocked full spelling grammatical error im cleaning tomorrow popping hehe,negative,12,86,6.25
hahahha lol true always remember bd never remember date even day,neutral,11,64,4.909090909090909
family herehanging,neutral,2,18,8.5
watching ellen love dish tanning gorgeous,positive,6,41,6.0
whats goin hun im worried,negative,5,25,4.2
bannished work till 6,negative,4,21,4.5
morning get see ill let know right im going go see wolverine,neutral,12,60,4.083333333333333
red top tabloid build knock,neutral,5,27,4.6
tonight party w girl minus vita,positive,6,31,4.333333333333333
made sad thought youd jumping joy,neutral,6,33,4.666666666666667
simple,neutral,1,6,6.0
pic uploaded baby pic cat missy adult pretty little kitty batty kitten heaven,neutral,13,77,5.0
saw play amazing,positive,3,16,4.666666666666667
glad break twitter virginity two,positive,5,32,5.6
dinner fam missed,negative,3,17,5.0
live thats want better bound bad egg though soon learn,neutral,10,54,4.5
hell yeah kellynn got twitter finally,neutral,6,37,5.333333333333333
know worth shot though,positive,4,22,4.75
opened facebook account im little confused dont really get twitter seems much better,positive,13,84,5.538461538461538
ship im stuck,negative,3,13,3.6666666666666665
dustbin baby 1130 cannot wait x,positive,6,31,4.333333333333333
going dwell happened passed shame supportive life x,negative,8,51,5.5
look like office tv get mlb network look like mlbn televising detbal game today wieters,neutral,15,87,4.866666666666666
home empty handed comic found today shall indulge cupcake magnolia bakery,neutral,11,73,5.7272727272727275
laying bed til workkk oh life definitely pinched nerve,negative,9,54,5.111111111111111
today busy day exhausting,negative,4,25,5.5
going go sunday ive got much going weekend,neutral,8,42,4.375
sorry hear flight got cancelled blow,negative,6,36,5.166666666666667
ohh tooth hurt ohh sad hurt,negative,6,27,3.6666666666666665
get distracted id like thank new follower taking trouble follow others feelin love,positive,13,82,5.384615384615385
think bill haii finished paying mine thats im broke,negative,9,51,4.777777777777778
sure didnt say 2 big jst saw pic last birthday looked pretty miss,neutral,13,65,4.076923076923077
sore throat planning tet outing marwell thoughgood time,neutral,8,55,6.0
mcfly gig last nightt omg amazin sit whole thing mcfly see best mate tutu,positive,14,73,4.285714285714286
2 day without sleep migraine thought life postr01 meant relaxing,negative,10,64,5.5
,neutral,1,0,0.0
,negative,1,0,0.0
sway sway winner announced,neutral,4,26,5.75
k check,neutral,2,7,3.0
pretty well wide awake,positive,4,22,4.75
want wake early get coffee tomorrow today going busyy day keep writing booo whoo,neutral,14,80,4.785714285714286
miss daddy mommy,negative,3,16,4.666666666666667
dog officially depressed brother dog gone doesnt want go outside play halfheartedly,negative,12,83,6.0
realized cant forward text msg iphone,neutral,6,37,5.333333333333333
frist post find new car parent exciting,positive,7,39,4.714285714285714
argh noo missed killer wossy suck missed brandon total failure anyone know repeated must investigate,negative,15,100,5.733333333333333
seriously bored without anyone talk tired enough sleep,negative,8,54,5.875
lost please help find good home,negative,6,31,4.333333333333333
peter gordon morning go piece want hide go piece almost die ever,neutral,12,64,4.416666666666667
ok ive got bit bad back lifting drum hardware car downer,negative,11,56,4.181818181818182
lmao smh one threw,neutral,4,18,3.75
oh nice going,positive,3,13,3.6666666666666665
getting ready work working weekend,neutral,5,34,6.0
going celebrate mother day family going start partying tonite,positive,9,61,5.888888888888889
,positive,1,0,0.0
computer hopeless everything else,negative,4,33,7.5
90 degree gross sky thunderstormsperfect match mood lol,positive,8,55,6.0
2nd aww thanks,positive,3,14,4.0
sorry rb ps3,negative,3,12,3.3333333333333335
saw amazing heeels big,neutral,4,22,4.75
stuck finger throat bunch bump tongue throat,negative,7,44,5.428571428571429
,negative,1,0,0.0
ohoh missed tweet going stay awake night see announcement time difference,negative,11,73,5.7272727272727275
damnit suck one one thought id drag back lol,negative,9,44,4.0
bos shes moving nyc,neutral,4,19,4.0
sooo crazy fever,negative,3,16,4.666666666666667
spending saturday morning taking note research essay stupid recalled book im using fair,negative,13,87,5.769230769230769
think need new friend,neutral,4,21,4.5
looking forward gig ireland see ya,neutral,6,34,4.833333333333333
please review sunehre ad placement,positive,5,34,6.0
,positive,1,0,0.0
hungry twitter want food 3,neutral,5,26,4.4
awesome lucky,positive,2,13,6.0
yea know tell everything p send direct message telling haha,neutral,10,59,5.0
haha jewish love one,positive,4,20,4.25
great time beer garden wit boyos think sun got bit though feel bit ill,neutral,14,70,4.071428571428571
lm 3 day matt fun weekend,negative,6,25,3.3333333333333335
really dont think maybe rightlol way phone using think told beforei might app,neutral,13,77,5.0
feel pain mine way,negative,4,18,3.75
come home two day,neutral,4,17,3.5
sadly didnt come one,negative,4,20,4.25
cannot wait see boy tomorrow,positive,5,28,4.8
ehhh check dentist app next week though getting molar pulledroot canal,neutral,11,70,5.454545454545454
aww miss driving elmwood,negative,4,24,5.25
omg wango tango awsome love baby taking,positive,7,39,4.714285714285714
version 2 live interactive transsiberian ticket planner launched cool,positive,9,69,6.777777777777778
30439 really wish could go,positive,5,26,4.4
yeah real hard know youll get smile,neutral,7,35,4.142857142857143
im 25 december thats good next big birthday 30 21 fly sure,negative,12,58,3.9166666666666665
made night way funny,positive,4,20,4.25
woo cavs happy mother day,positive,5,25,4.2
make face get home mom watching soap,neutral,7,36,4.285714285714286
go work,neutral,2,7,3.0
cant believe went got boba without,neutral,6,34,4.833333333333333
,neutral,1,0,0.0
thanks warm welcome didnt make plan arrival time air,positive,9,52,4.888888888888889
19 day counting,neutral,3,15,4.333333333333333
sorry friend im swamped deadline right family visiting boot charade,negative,10,67,5.8
,neutral,1,0,0.0
discovered shortcoming gravity use twitpic integrated doesnt subtract pic url 140 character limit,neutral,13,97,6.538461538461538
sunburn peeling,negative,2,15,7.0
perky purple nail polish isnt perky chipped,neutral,7,43,5.285714285714286
put camera smoker pit longer vandalize door without caught,neutral,9,58,5.555555555555555
laying alone since mooks soo comfy fn play pen thought ill first dont one cuddle,negative,15,80,4.4
hate dentist,negative,2,12,5.5
nothing aimed joining insorry,negative,4,29,6.5
im taking twitter break cell dying,negative,6,34,4.833333333333333
,neutral,1,0,0.0
writing english original writing storyyyyy listening little respect erasure aaaaaah,neutral,10,83,7.4
need follower,neutral,2,13,6.0
wish could get nail done stupid job,negative,7,35,4.142857142857143
little wormy labyrinth sadly passed away today ok he still around happy ghost form aww,neutral,15,86,4.8
'no pants' idea could new attempt worldwide attract business back airline,neutral,11,73,5.7272727272727275
good one,positive,2,8,3.5
yep infact popular miss india 99 talented film actress lot,positive,10,58,4.9
dosent want go work tomorrow,negative,5,28,4.8
,positive,1,0,0.0
wish birthday massacre would come australia think said theyre thinking though,neutral,11,77,6.090909090909091
hoping go red lobster weekend,neutral,5,29,5.0
xatl mean jack barakats wow ever gone house hehe mean ssoo lucky address,positive,13,72,4.615384615384615
sure hope becomes 420 afternoon,positive,5,31,5.4
mean famous congrats,positive,3,20,6.0
phone passed away yesterday jumped table searching new phone,negative,9,60,5.777777777777778
fantastic friend including several one met thanks life amazing people,positive,10,69,6.0
tamlyn wish cool sock draw,positive,5,26,4.4
rice crusty bread chili aawww,neutral,5,29,5.0
like mind evening dear,neutral,4,22,4.75
come save packing please,neutral,4,24,5.25
yes love tea make typically english,positive,6,35,5.0
mouth sure,positive,2,10,4.5
dec0de finally 1 hour history 300 pm went highschool 800 make homework friend,neutral,13,77,5.0
pancake lemon sugar thanks,positive,4,26,5.75
,negative,1,0,0.0
im hunrgy right heel kill hardly walk,negative,7,37,4.428571428571429
electronic key stopped working keyhole cannot get car much technology,negative,10,69,6.0
yay three follower good know one person big wide world like fishies,positive,12,67,4.666666666666667
'my name tony hey' poor tony,negative,6,28,3.8333333333333335
goodmorning,positive,1,11,11.0
took shift tomorrow dont really feel like working right,negative,9,55,5.222222222222222
love mine happy motherï¿½s day mom john taylor much love,positive,10,56,4.7
saw black snake garden went back picture gone,neutral,8,45,4.75
bought ludi rug dog best,positive,5,24,4.0
waterfront anymore faccia luna clarendon,negative,5,40,7.2
love mum much happy mother day wonderful mother,positive,8,47,5.0
slipped caught flu feeling like poop,negative,6,36,5.166666666666667
urge play wow wait 2 week til dad 547days til mcfly excited l,positive,13,61,3.769230769230769
ok passenger one alive theyre dead dont know til end cry,negative,11,56,4.181818181818182
discovered sharing g reader didnt even know sigh im g reader newb,neutral,12,65,4.5
chilled tonite cannot spew venom write funny seems like 2 style,neutral,11,63,4.818181818181818
please pray 4 lord know need,neutral,6,28,3.8333333333333335
aaaaaw want live usa,neutral,4,20,4.25
morning tweeple,positive,2,15,7.0
hey didnt get,neutral,3,13,3.6666666666666665
2 hour sleep rest need,positive,5,22,3.6
make day much better rough one mention love new photo,neutral,10,53,4.4
dont want sit home prom night someone hang,negative,8,42,4.375
heading home foot surgery wishing boyfriend come cuddle,positive,8,55,6.0
concert tonight chackin coming tomorrow,neutral,5,39,7.0
happened thought coming back today,neutral,5,34,6.0
lol dammit well next time,negative,5,25,4.2
,positive,1,0,0.0
,negative,1,0,0.0
forever 21 ethan couldnt,negative,4,24,5.25
sad giving firsti nothing,negative,4,25,5.5
week mine easy finally,negative,4,22,4.75
wow beautiful picture wayi straightjust wanted let know bella,positive,9,61,5.888888888888889
arch drawing checking mvccs cad degree look good,positive,8,48,5.125
'there people pencils' sharp sharpened pencil philosophy,neutral,7,56,7.142857142857143
go home im usually mr positive one daze well 15 min tomorrow,neutral,12,60,4.083333333333333
always lee let go paris,neutral,5,23,3.8
know want come keep company whilst mum friend night nice evening,positive,11,64,4.909090909090909
cooking dad lot fun kitchen together,positive,6,36,5.166666666666667
bouncing rush make feel nauseous,negative,5,32,5.6
woolsery morning hopefully see north molton u16 clinch north devon league title lovely day,positive,14,90,5.5
playing singstar without fave duetter,negative,5,37,6.6
youre missing bb im cereal nut think like every kind available,positive,11,62,4.7272727272727275
thats weird oh drawing,negative,4,22,4.75
woke mum singing new gnr cd replacement bought good daughter,positive,10,60,5.1
bird oh man thats cool didnt sleep yet night,negative,9,44,4.0
250 mile 1750 go ok u2 radio alwas help,positive,9,39,3.4444444444444446
street fighter iv skill lacking cant beat seth easy,negative,9,51,4.777777777777778
fil 461 cool people like,positive,5,24,4.0
good morning work espns sunday night baseball hopefully wont get rained,positive,11,71,5.545454545454546
think honeymoon good life either honey moon joseph arthur,neutral,9,57,5.444444444444445
son got stung bug first time little finger slightly swollen,negative,10,59,5.0
hour ago came realised went buy something online,neutral,8,48,5.125
oh referring lil exchange lj regard twitter archive posting,neutral,9,59,5.666666666666667
bumping dj opus drunk car lmao dont act like dont know,negative,11,54,4.0
kiss foot people kick anything want morning everyone hope best day ever,positive,12,71,5.0
here brief preview omg james creepy role im scared,negative,9,50,4.666666666666667
im missing crab leg attending going away instead,negative,8,48,5.125
hick mean,negative,2,9,4.0
gettn ready take trip jersey dad good need new heartwhoeva see please say prayer dad,negative,15,84,4.666666666666667
back soon need run shop cut grass,neutral,7,33,3.857142857142857
im plan transform bedroom today random,neutral,6,38,5.5
home tomorrow running spinning time chiropractor laundry shopping visiting family missing nathan,negative,12,96,7.083333333333333
another sponsor,neutral,2,15,7.0
u going stuck office without window,negative,6,35,5.0
sad make proud,negative,3,14,4.0
sorry well try keep,negative,4,19,4.0
home alone hw,neutral,3,13,3.6666666666666665
according quarter family six live poverty,negative,6,41,6.0
plan spend money going well,negative,5,27,4.6
uploading bamboozle picture facebook,neutral,4,36,8.25
congratulation guy finish month early booo,positive,6,42,6.166666666666667
actually wish back tahoe miss,negative,5,29,5.0
woke upi want stay bed,neutral,5,22,3.6
